"";"species";"island";"sex"
"1";"Adelie";"Torgersen";"male"
"2";"Adelie";"Torgersen";"female"
"3";"Adelie";"Torgersen";"female"
"4";"Adelie";"Torgersen";NA
"5";"Adelie";"Torgersen";"female"
"6";"Adelie";"Torgersen";"male"
"7";"Adelie";"Torgersen";"female"
"8";"Adelie";"Torgersen";"male"
"9";"Adelie";"Torgersen";NA
"10";"Adelie";"Torgersen";NA
"11";"Adelie";"Torgersen";NA
"12";"Adelie";"Torgersen";NA
"13";"Adelie";"Torgersen";"female"
"14";"Adelie";"Torgersen";"male"
"15";"Adelie";"Torgersen";"male"
"16";"Adelie";"Torgersen";"female"
"17";"Adelie";"Torgersen";"female"
"18";"Adelie";"Torgersen";"male"
"19";"Adelie";"Torgersen";"female"
"20";"Adelie";"Torgersen";"male"
"21";"Adelie";"Biscoe";"female"
"22";"Adelie";"Biscoe";"male"
"23";"Adelie";"Biscoe";"female"
"24";"Adelie";"Biscoe";"male"
"25";"Adelie";"Biscoe";"male"
"26";"Adelie";"Biscoe";"female"
"27";"Adelie";"Biscoe";"male"
"28";"Adelie";"Biscoe";"female"
"29";"Adelie";"Biscoe";"female"
"30";"Adelie";"Biscoe";"male"
"31";"Adelie";"Dream";"female"
"32";"Adelie";"Dream";"male"
"33";"Adelie";"Dream";"female"
"34";"Adelie";"Dream";"male"
"35";"Adelie";"Dream";"female"
"36";"Adelie";"Dream";"male"
"37";"Adelie";"Dream";"male"
"38";"Adelie";"Dream";"female"
"39";"Adelie";"Dream";"female"
"40";"Adelie";"Dream";"male"
"41";"Adelie";"Dream";"female"
"42";"Adelie";"Dream";"male"
"43";"Adelie";"Dream";"female"
"44";"Adelie";"Dream";"male"
"45";"Adelie";"Dream";"female"
"46";"Adelie";"Dream";"male"
"47";"Adelie";"Dream";"male"
"48";"Adelie";"Dream";NA
"49";"Adelie";"Dream";"female"
"50";"Adelie";"Dream";"male"
"51";"Adelie";"Biscoe";"female"
"52";"Adelie";"Biscoe";"male"
"53";"Adelie";"Biscoe";"female"
"54";"Adelie";"Biscoe";"male"
"55";"Adelie";"Biscoe";"female"
"56";"Adelie";"Biscoe";"male"
"57";"Adelie";"Biscoe";"female"
"58";"Adelie";"Biscoe";"male"
"59";"Adelie";"Biscoe";"female"
"60";"Adelie";"Biscoe";"male"
"61";"Adelie";"Biscoe";"female"
"62";"Adelie";"Biscoe";"male"
"63";"Adelie";"Biscoe";"female"
"64";"Adelie";"Biscoe";"male"
"65";"Adelie";"Biscoe";"female"
"66";"Adelie";"Biscoe";"male"
"67";"Adelie";"Biscoe";"female"
"68";"Adelie";"Biscoe";"male"
"69";"Adelie";"Torgersen";"female"
"70";"Adelie";"Torgersen";"male"
"71";"Adelie";"Torgersen";"female"
"72";"Adelie";"Torgersen";"male"
"73";"Adelie";"Torgersen";"female"
"74";"Adelie";"Torgersen";"male"
"75";"Adelie";"Torgersen";"female"
"76";"Adelie";"Torgersen";"male"
"77";"Adelie";"Torgersen";"female"
"78";"Adelie";"Torgersen";"male"
"79";"Adelie";"Torgersen";"female"
"80";"Adelie";"Torgersen";"male"
"81";"Adelie";"Torgersen";"female"
"82";"Adelie";"Torgersen";"male"
"83";"Adelie";"Torgersen";"female"
"84";"Adelie";"Torgersen";"male"
"85";"Adelie";"Dream";"female"
"86";"Adelie";"Dream";"male"
"87";"Adelie";"Dream";"male"
"88";"Adelie";"Dream";"female"
"89";"Adelie";"Dream";"male"
"90";"Adelie";"Dream";"female"
"91";"Adelie";"Dream";"female"
"92";"Adelie";"Dream";"male"
"93";"Adelie";"Dream";"female"
"94";"Adelie";"Dream";"male"
"95";"Adelie";"Dream";"female"
"96";"Adelie";"Dream";"male"
"97";"Adelie";"Dream";"female"
"98";"Adelie";"Dream";"male"
"99";"Adelie";"Dream";"female"
"100";"Adelie";"Dream";"male"
"101";"Adelie";"Biscoe";"female"
"102";"Adelie";"Biscoe";"male"
"103";"Adelie";"Biscoe";"female"
"104";"Adelie";"Biscoe";"male"
"105";"Adelie";"Biscoe";"female"
"106";"Adelie";"Biscoe";"male"
"107";"Adelie";"Biscoe";"female"
"108";"Adelie";"Biscoe";"male"
"109";"Adelie";"Biscoe";"female"
"110";"Adelie";"Biscoe";"male"
"111";"Adelie";"Biscoe";"female"
"112";"Adelie";"Biscoe";"male"
"113";"Adelie";"Biscoe";"female"
"114";"Adelie";"Biscoe";"male"
"115";"Adelie";"Biscoe";"female"
"116";"Adelie";"Biscoe";"male"
"117";"Adelie";"Torgersen";"female"
"118";"Adelie";"Torgersen";"male"
"119";"Adelie";"Torgersen";"female"
"120";"Adelie";"Torgersen";"male"
"121";"Adelie";"Torgersen";"female"
"122";"Adelie";"Torgersen";"male"
"123";"Adelie";"Torgersen";"female"
"124";"Adelie";"Torgersen";"male"
"125";"Adelie";"Torgersen";"female"
"126";"Adelie";"Torgersen";"male"
"127";"Adelie";"Torgersen";"female"
"128";"Adelie";"Torgersen";"male"
"129";"Adelie";"Torgersen";"female"
"130";"Adelie";"Torgersen";"male"
"131";"Adelie";"Torgersen";"female"
"132";"Adelie";"Torgersen";"male"
"133";"Adelie";"Dream";"female"
"134";"Adelie";"Dream";"male"
"135";"Adelie";"Dream";"female"
"136";"Adelie";"Dream";"male"
"137";"Adelie";"Dream";"female"
"138";"Adelie";"Dream";"male"
"139";"Adelie";"Dream";"female"
"140";"Adelie";"Dream";"male"
"141";"Adelie";"Dream";"female"
"142";"Adelie";"Dream";"male"
"143";"Adelie";"Dream";"female"
"144";"Adelie";"Dream";"male"
"145";"Adelie";"Dream";"female"
"146";"Adelie";"Dream";"male"
"147";"Adelie";"Dream";"male"
"148";"Adelie";"Dream";"female"
"149";"Adelie";"Dream";"female"
"150";"Adelie";"Dream";"male"
"151";"Adelie";"Dream";"female"
"152";"Adelie";"Dream";"male"
"153";"Gentoo";"Biscoe";"female"
